               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068599,            0.027944,            0.021694,             0.63514,             0.73305,             0.71722,             0.37641,            0.045017,           0.0099466,           0.0029946,            0.070068,           0.0033257,           0.0033257
                   1,            0.050539,            0.022518,           0.0042383,             0.73356,             0.77342,             0.76935,             0.50114,            0.039268,           0.0089076,           0.0020672,            0.040042,           0.0066327,           0.0066327
                   2,            0.047231,            0.021792,           0.0038772,             0.74842,             0.73468,             0.76279,             0.49125,             0.04211,           0.0099485,           0.0018929,           0.0099894,           0.0099132,           0.0099132
                   3,            0.045857,            0.022329,           0.0039758,             0.74005,             0.76834,             0.74817,              0.4859,            0.039858,            0.010404,           0.0019118,           0.0098812,           0.0098812,           0.0098812
                   4,            0.043865,            0.022425,           0.0033562,             0.72164,             0.78925,             0.77131,             0.49892,            0.037359,             0.01014,           0.0013585,           0.0098812,           0.0098812,           0.0098812
                   5,            0.042241,            0.022242,           0.0031897,             0.78585,             0.79272,             0.78734,             0.53835,            0.036289,           0.0095685,           0.0014715,           0.0098416,           0.0098416,           0.0098416
                   6,            0.040979,            0.021466,           0.0026224,             0.80309,             0.79609,             0.81798,             0.55142,            0.033202,           0.0089728,          0.00084648,            0.009802,            0.009802,            0.009802
                   7,             0.03987,            0.021162,           0.0024715,             0.81857,             0.80299,             0.82693,             0.57565,            0.032515,           0.0088938,          0.00069652,           0.0097624,           0.0097624,           0.0097624
                   8,            0.038777,            0.020884,           0.0021053,             0.78563,              0.7785,             0.77724,              0.5462,            0.037421,            0.010098,           0.0008606,           0.0097228,           0.0097228,           0.0097228
                   9,            0.038279,            0.020772,           0.0020614,             0.79916,             0.82915,             0.83387,             0.59483,            0.031464,           0.0085762,          0.00057627,           0.0096832,           0.0096832,           0.0096832
                  10,            0.037265,             0.02025,            0.001849,             0.80522,             0.83145,              0.8447,             0.60384,            0.030307,           0.0082591,          0.00053702,           0.0096436,           0.0096436,           0.0096436
                  11,            0.036966,            0.020254,           0.0016913,             0.82813,             0.81975,             0.84096,              0.5937,            0.031866,           0.0088177,          0.00058265,            0.009604,            0.009604,            0.009604
                  12,            0.036111,            0.020034,           0.0017169,             0.81211,             0.83146,             0.83614,             0.60193,            0.030305,           0.0087297,          0.00043945,           0.0095644,           0.0095644,           0.0095644
                  13,             0.03595,            0.019843,           0.0015899,             0.80893,             0.84476,             0.85105,             0.61831,            0.029242,           0.0082557,          0.00045054,           0.0095248,           0.0095248,           0.0095248
                  14,            0.035253,            0.019399,            0.001352,             0.82499,             0.84674,             0.85058,             0.60979,            0.028737,           0.0079875,          0.00039055,           0.0094852,           0.0094852,           0.0094852
                  15,            0.034922,            0.019053,           0.0013918,             0.81322,             0.84443,              0.8564,             0.61866,            0.028672,           0.0080514,          0.00040563,           0.0094456,           0.0094456,           0.0094456
                  16,            0.034315,            0.019253,           0.0013673,             0.83379,             0.85686,             0.86191,             0.62884,            0.028291,           0.0079289,          0.00041892,            0.009406,            0.009406,            0.009406
                  17,             0.03422,            0.019143,           0.0012493,             0.81517,             0.86435,              0.8635,             0.63244,            0.028063,            0.007706,          0.00030265,           0.0093664,           0.0093664,           0.0093664
                  18,            0.033603,             0.01883,           0.0011687,             0.82088,             0.83709,             0.85358,             0.63138,            0.028962,           0.0081713,          0.00036682,           0.0093268,           0.0093268,           0.0093268
                  19,            0.033502,            0.018873,           0.0012042,             0.84546,             0.83499,             0.85773,             0.63302,            0.028131,           0.0077851,          0.00029651,           0.0092872,           0.0092872,           0.0092872
                  20,            0.033379,            0.018642,           0.0011977,             0.83589,              0.8584,             0.87483,             0.63046,            0.028076,           0.0077723,          0.00045608,           0.0092476,           0.0092476,           0.0092476
                  21,            0.032811,            0.018324,           0.0011038,              0.8247,             0.86345,             0.87539,             0.63966,            0.027561,            0.007547,          0.00022848,            0.009208,            0.009208,            0.009208
                  22,            0.032617,            0.018359,           0.0013127,              0.8306,             0.87549,             0.87944,             0.65504,            0.027501,           0.0075889,          0.00033808,           0.0091684,           0.0091684,           0.0091684
                  23,            0.032446,             0.01809,          0.00096174,              0.8382,             0.87056,             0.86764,             0.64459,            0.026825,           0.0074294,          0.00027016,           0.0091288,           0.0091288,           0.0091288
                  24,            0.032426,            0.018111,           0.0010621,             0.83243,             0.87081,             0.88071,              0.6527,            0.026837,           0.0073984,          0.00020592,           0.0090892,           0.0090892,           0.0090892
                  25,            0.031908,            0.018231,           0.0010647,             0.81792,             0.86134,             0.85612,             0.63784,            0.027416,           0.0075878,          0.00026007,           0.0090496,           0.0090496,           0.0090496
                  26,            0.031659,            0.017877,           0.0010888,             0.86793,              0.8488,             0.87508,             0.65614,            0.026552,           0.0073329,          0.00023977,             0.00901,             0.00901,             0.00901
                  27,            0.031278,            0.017715,          0.00087686,             0.85179,             0.87058,             0.88018,             0.65053,            0.026419,           0.0072735,          0.00023806,           0.0089704,           0.0089704,           0.0089704
                  28,            0.031426,            0.017497,          0.00088174,             0.82804,              0.8945,              0.8819,             0.66376,            0.026641,           0.0072316,          0.00021563,           0.0089308,           0.0089308,           0.0089308
                  29,            0.031265,            0.017737,           0.0010909,             0.84679,             0.87926,             0.89614,             0.67471,            0.025855,           0.0072167,          0.00019999,           0.0088912,           0.0088912,           0.0088912
                  30,            0.030957,            0.017553,           0.0010007,             0.84013,             0.88058,             0.88458,             0.65826,            0.026392,            0.007315,          0.00025617,           0.0088516,           0.0088516,           0.0088516
                  31,            0.031015,            0.017498,          0.00097846,             0.82488,             0.88421,             0.86916,             0.66052,            0.026127,            0.007296,          0.00020925,            0.008812,            0.008812,            0.008812
                  32,            0.030804,            0.017496,          0.00094258,             0.84124,             0.88467,             0.88098,             0.67009,            0.025836,           0.0070908,          0.00020815,           0.0087724,           0.0087724,           0.0087724
                  33,             0.03025,            0.017184,          0.00088809,             0.84784,             0.86919,              0.8847,             0.66865,            0.025515,           0.0071164,          0.00018303,           0.0087328,           0.0087328,           0.0087328
                  34,            0.030257,            0.017294,          0.00090448,             0.84503,             0.88929,             0.89298,             0.68076,            0.025033,           0.0069015,           0.0001878,           0.0086932,           0.0086932,           0.0086932
                  35,            0.030024,            0.017084,          0.00080315,             0.84417,             0.87706,             0.88467,             0.66501,            0.025732,           0.0070661,          0.00017258,           0.0086536,           0.0086536,           0.0086536
                  36,            0.029902,            0.016895,          0.00097832,             0.86279,             0.87788,             0.89035,              0.6713,            0.025167,             0.00711,          0.00017361,            0.008614,            0.008614,            0.008614
                  37,             0.02995,            0.017111,          0.00089885,             0.87059,             0.87597,             0.89231,             0.67633,            0.025336,           0.0068961,           0.0001828,           0.0085744,           0.0085744,           0.0085744
                  38,            0.030024,            0.017105,          0.00097799,             0.86871,             0.87615,             0.89877,                0.68,             0.02537,           0.0070029,          0.00017232,           0.0085348,           0.0085348,           0.0085348
                  39,            0.029556,            0.016866,          0.00090114,             0.87488,             0.87344,             0.90797,             0.68366,             0.02532,           0.0068512,          0.00018327,           0.0084952,           0.0084952,           0.0084952
                  40,             0.02961,            0.016883,          0.00094184,             0.85999,             0.89761,             0.90828,             0.69707,             0.02479,           0.0067784,          0.00016664,           0.0084556,           0.0084556,           0.0084556
                  41,            0.029487,            0.016865,          0.00089038,             0.86457,             0.90279,             0.90175,             0.68701,            0.025287,           0.0068767,           0.0001618,            0.008416,            0.008416,            0.008416
                  42,            0.028895,            0.016466,          0.00072359,              0.8699,             0.89303,             0.90474,             0.69734,            0.024273,            0.006698,          0.00015778,           0.0083764,           0.0083764,           0.0083764
                  43,            0.028968,            0.016152,          0.00078306,             0.87015,             0.89975,             0.91172,             0.70474,            0.023988,           0.0065922,          0.00016748,           0.0083368,           0.0083368,           0.0083368
                  44,            0.028742,            0.016546,          0.00069621,             0.87856,             0.88651,             0.90932,             0.70062,            0.023906,           0.0065538,          0.00017161,           0.0082972,           0.0082972,           0.0082972
                  45,             0.02888,            0.016708,          0.00079362,             0.88313,             0.90063,             0.91471,             0.70424,            0.023748,           0.0065565,          0.00015335,           0.0082576,           0.0082576,           0.0082576
                  46,            0.028614,            0.016151,          0.00068021,             0.88005,             0.90044,              0.9144,             0.71006,            0.023668,           0.0064871,          0.00015731,            0.008218,            0.008218,            0.008218
                  47,            0.028404,            0.016308,          0.00079189,             0.85617,             0.91207,             0.91327,             0.70646,            0.023409,           0.0065895,          0.00014076,           0.0081784,           0.0081784,           0.0081784
                  48,            0.028367,            0.016426,          0.00081723,             0.87513,              0.9017,             0.90979,             0.70151,            0.023658,           0.0065899,          0.00014106,           0.0081388,           0.0081388,           0.0081388
